Identifiant livraison;Adresse du programme;Code postal;Ville;Année du financement - agrément;Bailleur social;Nombre total de logements financés;Dont nombre de logements PLA I;Dont nombre de logements PLUS;Dont nombre de logements PLUS CD;Dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissement;Nature de programme;COORD_X_L93;COORD_Y_L93;geo_shape;geo_point_2d
2968;101-105 BD BRUNE;75014;Paris;2016;RES.L.F.;58;0;0;0;58;construction neuve;;14;logement familial;649708.777;6858630.247;"{""coordinates"": [2.314985009152689, 48.82576917750648], ""type"": ""Point""}";48.82576917750648,2.314985009152689
2977;2 RUE DE FLORENCE;75008;Paris;2016;RIVP;3;3;0;0;0;construction neuve;;8;logement familial;650550.76;6864911.335;"{""coordinates"": [2.325722518168857, 48.88231952432549], ""type"": ""Point""}";48.88231952432549,2.325722518168857
3257;25, RUE PRADIER 63 RUE FESSARD;75019;Paris;2017;PARIS HAB;1;1;0;0;0;acquisition conventionnement;;19;logement familial;654703.329;6864212.154;"{""coordinates"": [2.38241806105747, 48.87633746233548], ""type"": ""Point""}";48.87633746233548,2.38241806105747
3367;11-17, RUE DE LA CROIX MOREAU;75018;Paris;2018;IMM 3F;67;0;24;0;43;acquisition réhabilitation;;18;logement familial;653367.375;6866373.138;"{""coordinates"": [2.363966912972331, 48.89567514538553], ""type"": ""Point""}";48.89567514538553,2.363966912972331
3372;6, RUE DE LA BOETIE;75008;Paris;2018;PARIS HAB;6;4;2;0;0;construction neuve;;8;logement familial;650007.4613;6864040.9899;"{""coordinates"": [2.318417036079165, 48.87445082425596], ""type"": ""Point""}";48.87445082425596,2.318417036079165
3373;41-47 RUE DE LA GRANGE AUX BELLES;75010;Paris;2018;PARIS HAB;1;0;1;0;0;acquisition réhabilitation;;10;logement familial;653626.85;6864152.922;"{""coordinates"": [2.367748263169966, 48.8757281883525], ""type"": ""Point""}";48.8757281883525,2.367748263169966
3338;9 RUE LESAGE (BATIMENT COUR);75020;Paris;2018;ELOGIE SIEMP;1;0;0;0;1;acquisition réhabilitation;;20;logement familial;654621.999;6863749.813;"{""coordinates"": [2.381358625950277, 48.872174001460564], ""type"": ""Point""}";48.872174001460564,2.381358625950277
3383;1, RUE ALFRED BRUNEAU;75016;Paris;2018;PARIS HAB;15;9;6;0;0;construction neuve;;16;logement familial;646936.966;6861974.362;"{""coordinates"": [2.27681516049964, 48.85562046130302], ""type"": ""Point""}";48.85562046130302,2.27681516049964
3275;12, RUE LAMARTINE;75009;Paris;2018;AXIMO;2;2;0;0;0;acquisition réhabilitation;;9;logement familial;651820.906;6864265.907;"{""coordinates"": [2.343114314622241, 48.87661166129702], ""type"": ""Point""}";48.87661166129702,2.343114314622241
3146;63 RUE LETELLIER;75015;Paris;2017;RES.L.F.;8;4;4;0;0;construction neuve;;15;logement familial;648569.581;6860985.574;"{""coordinates"": [2.299184137268075, 48.84686079236883], ""type"": ""Point""}";48.84686079236883,2.299184137268075
3392;18 RUE JEAN JACQUES ROUSSEAU;75001;Paris;2018;RIVP;34;17;17;0;0;acquisition réhabilitation;;1;logement familial;651645.487;6862711.699;"{""coordinates"": [2.340899592317237, 48.862621847774584], ""type"": ""Point""}";48.862621847774584,2.340899592317237
3397;10, RUE TAINE;75012;Paris;2018;RIVP;17;0;0;0;17;acquisition réhabilitation;;12;logement familial;655383.37;6859918.221;"{""coordinates"": [2.392140146727073, 48.83776985993348], ""type"": ""Point""}";48.83776985993348,2.392140146727073
3404;58 RUE DE LA SANTE;75014;Paris;2018;RIVP;16;5;6;0;5;construction neuve;;14;logement familial;651633.66;6859200.15;"{""coordinates"": [2.341137762394978, 48.83104168878186], ""type"": ""Point""}";48.83104168878186,2.341137762394978
626;RUE DE REUILLY - 6 ET 8 PASSAGE A12;75012;Paris;2006;RIVP;3;0;3;0;0;construction neuve;;12;logement familial;655234.181;6860672.1499;"{""coordinates"": [2.390028322247119, 48.84453964616268], ""type"": ""Point""}";48.84453964616268,2.390028322247119
643;13 RUE DURANTON 92-98 RUE DE LA CONVENTION;75015;Paris;2006;SABLIERE;126;0;126;0;0;acquisition conventionnement;;15;logement familial;647568.718;6860287.8854;"{""coordinates"": [2.285632636318224, 48.840505853467235], ""type"": ""Point""}";48.840505853467235,2.285632636318224
674;2-2 BIS, RUE EDMOND FLAMAND - 20, BD VINCENT AURIOL;75013;Paris;2006;FREHA;27;27;0;0;0;construction neuve;;13;logement familial;653879.2966;6859840.4941;"{""coordinates"": [2.371657830809851, 48.83696497219188], ""type"": ""Point""}";48.83696497219188,2.371657830809851
918;71, RUE SAINT DOMINIQUE;75007;Paris;2007;BATIGERE;11;3;8;0;0;construction neuve;"opération abandonnée; réagréée";7;logement familial;649351.6936;6862421.9806;"{""coordinates"": [2.309669921951651, 48.85984019236195], ""type"": ""Point""}";48.85984019236195,2.309669921951651
845;24-26, RUE DES ARCHIVES (LOGTS INSERTION);75004;Paris;2007;FREHA;3;3;0;0;0;acquisition réhabilitation;opération abandonnée;4;logement familial;652673.5406;6862190.2453;"{""coordinates"": [2.3549699967684052, 48.85800882865354], ""type"": ""Point""}";48.85800882865354,2.3549699967684052
17;47 RUE DU JAVELOT;75013;Paris;2001;PARIS HAB;2;0;2;0;0;construction neuve;;13;logement familial;653399.0686;6858485.4734;"{""coordinates"": [2.365263942121965, 48.82474455434412], ""type"": ""Point""}";48.82474455434412,2.365263942121965
925;6 PLACE DU DOCTEUR YERSIN;75013;Paris;2007;PARIS HAB;54;0;54;0;0;construction neuve;;13;résidence pour étudiants;653963.8536;6858118.0594;"{""coordinates"": [2.372996105641675, 48.82148091108458], ""type"": ""Point""}";48.82148091108458,2.372996105641675
961;10 RUE DUPETIT THOUARS;75003;Paris;2007;BATIGERE;16;4;12;0;0;construction neuve;;3;logement familial;653208.6118;6862994.241;"{""coordinates"": [2.362173851223294, 48.86527814691638], ""type"": ""Point""}";48.86527814691638,2.362173851223294
802;22 RUE DURANTON;75015;Paris;2007;RIVP;13;13;0;0;0;construction neuve;;15;maison relais;647616.4714;6860227.3511;"{""coordinates"": [2.286290687428341, 48.83996535358516], ""type"": ""Point""}";48.83996535358516,2.286290687428341
832;110 RUE DE CRIMEE;75019;Paris;2007;RIVP;21;0;7;0;14;acquisition conventionnement;;19;logement familial;654819.4915;6865121.7047;"{""coordinates"": [2.383905019521662, 48.88452497654572], ""type"": ""Point""}";48.88452497654572,2.383905019521662
