Numéro de la demande;Date de la demande;Siret du commerce;Nom de l’enseigne;Adresse du commerce;Installations demandées et dimensions;Arrondissement;Code Arrondissement;geo_point_2d
DSN1278;2021-06-23;;AU CAFÉ JABY;77 rue Lecourbe 75015;"Contre-terrasse permanente sur stationnement (L=9,00m l=1,80m) ; Contre-terrasse estivale sur trottoir désaxée par rapport à la devanture (L=8,00m l=1,00m)";15;75115;48.84323399981215,2.305146999475455
DSN1356;2021-06-24;;STATION KRISHNA;16 rue du Pere Guerin 75013;Terrasse estivale sur trottoir face à la devanture (L=18,50m l=1,30m);13;75113;48.830290000277564,2.3538559997750212
DSN1426;2021-06-24;;24BISTROT SAINT PAUL;40 rue saint Paul 75004;"Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=4,50m l=3,00m) ; Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=7,00m l=1,00m)";4;75104;48.85438100020054,2.362569999898634
DSN1695;2021-06-24;;LES SAISONS;52 rue Lamartine 75009;Contre-terrasse estivale sur stationnement (L=13,50m l=1,80m);9;75109;48.876670999652035,2.340078999644632
DSN1832;2021-06-24;;LE CAFE DE L EGLISE;2 place Franz Liszt 75010;"Contre-terrasse estivale sur trottoir face à la devanture (L=10,00m l=2,50m) ; Contre-terrasse estivale sur aire piétonne provisoire (L=11,00m l=3,50m)";10;75110;48.877545000219435,2.351755999493999
DSN2030;2021-06-24;;PUR'ETC;25 rue Sedaine 75011;Contre-terrasse estivale sur stationnement (L=5,00m l=1,70m);11;75111;48.8565630001923,2.373593000670613
DSN2101;2021-06-24;;GOOD WAY ESCAPADE;44 rue Baudricourt 75013;Terrasse estivale sur trottoir face à la devanture (L=2,00m l=2,00m);13;75113;48.826907000112875,2.363786000423204
DSN2120;2021-06-24;;FOUCADE;61 rue de Bretagne 75003;Terrasse estivale sur trottoir face à la devanture (L=17,00m l=2,00m);3;75103;48.864074000019215,2.360349000314704
DSN2391;2021-06-24;;SHE'S CAKE;37 rue du Roi de Sicile 75004;Contre-terrasse estivale sur stationnement (L=4,00m l=1,50m);4;75104;48.856684000355955,2.356365999517007
DSN2404;2021-06-24;;NEW NEW;35 rue Beaubourg 75003;Terrasse estivale sur trottoir face à la devanture (L=13,00m l=2,70m);3;75103;48.86188100036875,2.35367700050223
DSN2359;2021-06-24;;ARSOUILLE;9 rue de Clichy 75009;Contre-terrasse permanente sur stationnement (L=6,00m l=1,80m);9;75109;48.8770960000572,2.330593999420111
DSN2565;2021-06-24;;ISIS CAFÉ;31 rue des Lombards 75001;Terrasse estivale sur trottoir face à la devanture (L=11,00m l=2,50m);1;75101;48.859555000316085,2.348487000065981
DSN2995;2021-06-24;;AU DEPOT;53 boulevard de Belleville 75011;Contre-terrasse estivale sur places et terre-pleins (L=7,00m l=4,50m);11;75111;48.86966299974934,2.379403999581973
DSN3545;2021-06-24;;TOUCH'IN PARIS;20 rue Vignon 75009;Contre-terrasse estivale sur stationnement (L=5,50m l=1,49m);9;75109;48.87131299991112,2.326380000472995
DSN3591;2021-06-24;;BAB-ILO;9 rue du Baigneur 75018;"Contre-terrasse permanente sur stationnement (L=11,20m l=1,70m) ; Contre-terrasse estivale sur places et terre-pleins (L=16,60m l=1,90m)";18;75118;48.890078000219134,2.34474399939021
DSN491;2021-06-22;;BOTECO VILA MADA;51 avenue Trudaine 75009;Contre-terrasse estivale sur trottoir face à la devanture (L=6,00m l=1,80m);9;75109;48.88069999995917,2.3409450004339423
DSN517;2021-06-22;;CASTILLE;33 rue Cambon 75001;Terrasse estivale sur trottoir face à la devanture (L=15,00m l=2,00m);1;75101;48.868268999807064,2.326803999734371
DSN673;2021-06-22;;FROG XVI;110b avenue Kleber 75116;"Terrasse estivale sur trottoir face à la devanture (L=20,70m l=0,60m) ; Terrasse estivale sur trottoir face à la devanture (L=4,00m l=1,20m) ; Contre-terrasse permanente sur stationnement (L=20,30m l=1,70m)";16;75116;48.86470900003148,2.288173000429905
DSN674;2021-06-22;;LE GRAND COMPTOIR D'ANVERS;2 place d'Anvers 75009;Contre-terrasse estivale sur places et terre-pleins (L=30,00m l=3,20m);9;75109;48.882011000195085,2.344956000487405
DSN790;2021-06-23;;LES TROIS FRERES;98 boulevard Diderot 75012;Terrasse estivale sur trottoir face à la devanture (L=12,00m l=5,00m);12;75112;48.84698300012615,2.38496399961248
DSN1110;2021-06-23;;BURGER THEORY;11 boulevard des Filles du Calvaire 75003;Contre-terrasse estivale sur trottoir face à la devanture (L=5,00m l=1,70m);3;75103;48.862133999881884,2.366704000264483
DSN1124;2021-06-23;;LE PARADIS DU FRUIT;30 boulevard des Italiens 75009;Contre-terrasse estivale sur trottoir face à la devanture (L=9,41m l=2,23m);9;75109;48.87139099972763,2.335605000030971
DSN13650;2021-07-01;;CHEZ TROQUETTE;1 rue Saint maur 75011;Contre-terrasse estivale sur stationnement (L=7,00m l=1,80m);11;75111;48.85868600003848,2.38338600023498
DSN13954;2021-07-01;;TROIS FOIS PLUS DE PIMENT;184 rue Saint martin 75003;Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=6,00m l=2,00m);3;75103;48.862745999778376,2.352336999696158
DSN14744;2021-07-01;;LE BERBERE ROCK;103 rue des Pyrenees 75020;"Contre-terrasse estivale sur trottoir face à la devanture (L=4,00m l=1,20m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=2,90m l=1,20m)";20;75120;48.855498000342976,2.405097999633962
DSN14778;2021-07-01;;LA BOUCHE BLEUE;12 rue de Trevise 75009;Contre-terrasse permanente sur stationnement (L=8,00m l=1,90m);9;75109;48.87336699957773,2.34526599936688
DSN14100;2021-07-01;;PAVILLON;53b avenue de la Motte picquet 75015;Contre-terrasse estivale sur trottoir face à la devanture (L=5,10m l=2,40m);15;75115;48.8500400003012,2.299644999830751
DSN14199;2021-07-01;;MAISON NOMADE;140 rue du Faubourg Saint martin 75010;Contre-terrasse estivale sur trottoir face à la devanture (L=12,00m l=0,60m);10;75110;48.87484699996342,2.359182000242285
DSN14213;2021-07-01;;LE MÉZIÈRES;16 rue de Mezieres 75006;"Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=10,00m l=0,60m) ; Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=0,85m l=0,60m)";6;75106;48.850332000258,2.33032399999851
DSN14257;2021-07-01;;LE BOSSU;17 rue des 2 Ponts 75004;Contre-terrasse estivale sur trottoir face à la devanture (L=6,00m l=2,00m);4;75104;48.85166499992024,2.356292000628634
DSN14342;2021-07-01;;ASSEMBLÉE GÉNÉRALE CAFÉ (AG CAFÉ);291 rue Saint denis 75002;Terrasse estivale sur trottoir face à la devanture (L=4,90m l=1,70m);2;75102;48.86949000020837,2.352357000491233
DSN14313;2021-07-01;;MANNA;44 rue de Lourmel 75015;Contre-terrasse permanente sur stationnement (L=3,00m l=6,00m);15;75115;48.84777400008265,2.289736000362748
DSN14372;2021-07-01;;LE BOA;127 boulevard du Montparnasse 75006;Contre-terrasse estivale sur voie piétonne (L=13,00m l=1,50m);6;75106;48.84158500024328,2.331482999435165
DSN14418;2021-07-01;;ITACOA;185 rue saint Denis 75002;Contre-terrasse estivale sur trottoir face à la devanture (L=8,00m l=2,50m);2;75102;48.866020000259276,2.350693000405213
DSN14582;2021-07-01;;MAÏZ;54 rue d'Argout 75002;"Contre-terrasse estivale sur trottoir face à la devanture (L=9,00m l=1,10m) ; Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=5,00m l=1,10m)";2;75102;48.86603899957717,2.34395100026536
DSN14604;2021-07-01;;POKELA;40 rue Poussin 75016;Contre-terrasse estivale sur stationnement (L=10,00m l=2,00m);16;75116;48.84868499962373,2.26247199976057
DSN14668;2021-07-01;;LINETTE;16 avenue Rapp 75007;Contre-terrasse estivale sur places et terre-pleins (L=11,00m l=3,00m);7;75107;48.860045999719794,2.300646000472196
DSN14670;2021-07-01;;MR ALPHO;8 rue de la Folie mericourt 75011;Contre-terrasse estivale sur stationnement (L=6,50m l=1,70m);11;75111;48.86165499993114,2.37459299971293
DSN14708;2021-07-01;;14708LE LAB;11 rue d'Ormesson 75004;Terrasse estivale sur trottoir face à la devanture (L=4,00m l=1,80m);4;75104;48.85528700003885,2.362395999827735
DSN14736;2021-07-01;;EELS;27 rue d'Hauteville 75010;"Terrasse estivale sur trottoir face à la devanture (L=8,00m l=0,50m) ; Terrasse estivale sur trottoir face à la devanture (L=8,00m l=0,50m)";10;75110;48.87323099958476,2.350271000062549
DSN13193;2021-06-30;;VALE E ALE;7 rue Geoffroy marie 75009;"Contre-terrasse estivale sur stationnement (L=5,20m l=1,78m) ; Terrasse estivale sur trottoir face à la devanture (L=5,20m l=0,55m)";9;75109;48.8734730002218,2.34369800039964
DSN13239;2021-06-30;;H.A.N.D;39 rue de Richelieu 75001;Contre-terrasse estivale sur places et terre-pleins (L=8,00m l=4,00m);1;75101;48.86571099969823,2.336676999934355
DSN13252;2021-06-30;;THE BEANS ON FIRE;61 rue des Trois Freres 75018;Contre-terrasse estivale sur stationnement (L=10,00m l=2,00m);18;75118;48.88555899955226,2.338294999726978
DSN13338;2021-06-30;;JARDIN D'ALIGRE;4 rue d'Aligre 75012;Contre-terrasse estivale sur stationnement (L=6,00m l=1,80m);12;75112;48.84789999999713,2.377375999985066
DSN13336;2021-06-30;;VIA DEL CAMPO;22 rue du Champ de Mars 75007;Contre-terrasse permanente sur stationnement (L=10,80m l=1,90m);7;75107;48.85613800017571,2.304188999695364
DSN13355;2021-06-30;;YA BAYTE BY HEBE;1 rue des Grands Degres 75005;Contre-terrasse estivale sur places et terre-pleins (L=5,40m l=2,10m);5;75105;48.85121999964578,2.350063000243007
DSN13367;2021-06-30;;L'ESCALE;1 rue des Deux Ponts 75004;"Terrasse estivale sur trottoir face à la devanture (L=4,70m l=1,00m) ; Terrasse estivale sur trottoir face à la devanture (L=3,90m l=0,60m) ; Contre-terrasse estivale sur places et terre-pleins (L=2,00m l=0,70m)";4;75104;48.851262999723296,2.355939999805168
DSN13478;2021-06-30;;CAFE DE LA MAIRIE;51 rue de Bretagne 75003;Contre-terrasse estivale sur voie piétonne (L=10,00m l=2,00m);3;75103;48.86354099969646,2.361111000176969
DSN13493;2021-06-30;;RÉPUBLIQUE OF COFFEE;2 boulevard Saint martin 75010;Contre-terrasse estivale sur trottoir face à la devanture (L=2,00m l=6,30m);10;75110;48.86819300019159,2.361894000179864
DSN13482;2021-06-30;;SOFITEL PARIS BALTIMORE TOUR EIFFEL;88b avenue Kleber 75116;"Terrasse estivale sur trottoir face à la devanture (L=10,00m l=4,00m) ; Contre-terrasse estivale sur places et terre-pleins (L=9,00m l=6,00m)";16;75116;48.86636200017175,2.289370999605601
DSN42120;2022-02-03;;CAFE DE L EGLISE;2 place Franz Liszt 75010;"Contre-terrasse estivale sur trottoir face à la devanture (L=10,00m l=2,50m) ; Contre-terrasse estivale sur aire piétonne provisoire (L=11,00m l=3,50m)";10;75110;48.877545000219435,2.351755999493999
DSN42177;2022-02-04;;SHISHA ONE;1 rue de la Grande Truanderie 75001;Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=3,50m l=2,70m);1;75101;48.86247899986776,2.350077999715893
DSN42189;2022-02-04;;BISTROT MON CAFÉ;182 rue du Faubourg Saint antoine 75012;"Contre-terrasse estivale sur trottoir face à la devanture (L=11,00m l=1,80m) ; Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=6,20m l=1,20m)";12;75112;48.850182000152955,2.382763999813996
DSN39497;2022-01-03;;LE REFUGE;72 rue Lamarck 75018;Contre-terrasse permanente sur stationnement (L=13,00m l=1,70m);18;75118;48.88998100009103,2.338946000027876
DSN39517;2022-01-04;;DAME TARTINE;2 rue Brisemiche 75004;Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=2,00m l=2,00m);4;75104;48.85921800008852,2.351616999878173
DSN39533;2022-01-04;;BRAVA PIZZA;38 rue du Cardinal Lemoine 75005;Contre-terrasse estivale sur stationnement (L=9,00m l=2,00m);5;75105;48.84706499975782,2.352090000126851
DSN39589;2022-01-06;;VALMYVILLE;56 rue de Lancry 75010;"Terrasse estivale sur trottoir face à la devanture (L=8,20m l=0,90m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=14,00m l=1,50m) ; Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=8,00m l=2,60m)";10;75110;48.872385000311716,2.363175999695264
DSN42244;2022-02-04;;LE PETIT LITTRE;16 rue Littre 75006;Contre-terrasse estivale sur stationnement (L=15,90m l=1,80m);6;75106;48.84501699964208,2.324078999965943
DSN42294;2022-02-04;;JUSTINE;96 rue Oberkampf 75011;Contre-terrasse estivale sur stationnement (L=11,70m l=1,70m);11;75111;48.865681999565396,2.377787000645414
DSN37236;2021-10-28;;CHEZ TTOTTE;22 rue Falguiere 75015;Contre-terrasse permanente sur stationnement (L=6,00m l=1,80m);15;75115;48.84286200000365,2.316231999544635
DSN37247;2021-10-28;;VENITIA;43 rue Archereau 75019;Contre-terrasse permanente sur stationnement (L=6,90m l=1,50m);19;75119;48.89169100042583,2.374312999684909
DSN37244;2021-10-28;;CHAZELLES CAFE;1 rue de Chazelles 75017;Contre-terrasse permanente sur stationnement (L=8,00m l=3,00m);17;75117;48.879511999888194,2.303384000249185
DSN39621;2022-01-07;;BIEN BOIRE;25 avenue de la Republique 75011;Terrasse estivale sur trottoir face à la devanture (L=5,80m l=3,30m);11;75111;48.86594399996452,2.371750999847084
DSN39696;2022-01-10;;LE RELAIS MADELEINE;9 rue du Chevalier de Saint george 75008;Contre-terrasse estivale sur stationnement (L=8,00m l=2,00m);8;75108;48.86859899962573,2.324927000324995
DSN42427;2022-02-06;;MURPHY;3 rue du Maine 75014;"Contre-terrasse estivale sur trottoir face à la devanture (L=5,00m l=0,80m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=1,40m l=0,80m)";14;75114;48.84051999980605,2.323559000058259
DSN42511;2022-02-07;;LA BIBIMERIE;1 rue Lucien Sampaix 75010;Terrasse estivale sur trottoir face à la devanture (L=6,00m l=0,50m);10;75110;48.870769000303305,2.359596999987231
DSN42510;2022-02-07;;SELECT VIGNON;11 rue Vignon 75008;Contre-terrasse permanente sur stationnement (L=6,00m l=1,70m);8;75108;48.87096499956996,2.326097999772118
DSN42543;2022-02-07;;LA ROTONDE DE LA MUETTE;12 Chaussee de la Muette 75116;"Contre-terrasse permanente sur stationnement (L=13,00m l=1,70m) ; Contre-terrasse permanente sur stationnement (L=12,50m l=1,70m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=1,20m l=1,20m)";16;75116;48.85836199972199,2.273054999618337
DSN37325;2021-10-29;;AUX CLOCHES VERTES;76 rue de Maubeuge 75009;Contre-terrasse permanente sur stationnement (L=6,00m l=1,80m);9;75109;48.87910600021261,2.347875999788691
DSN42651;2022-02-07;;LE PETIT BAIGNEUR;10 rue de la Sabliere 75014;Contre-terrasse estivale sur stationnement (L=12,00m l=2,00m);14;75114;48.83173099974617,2.324207999993168
DSN37522;2021-10-30;;LIBEYROUTH;72 rue Mouffetard 75005;Contre-terrasse permanente sur stationnement (L=2,00m l=4,00m);5;75105;48.84257499967314,2.349655999510516
DSN42850;2022-02-08;;CALI UPTOWN;68 rue d'Hauteville 75010;"Terrasse estivale sur trottoir face à la devanture (L=7,40m l=0,70m) ; Contre-terrasse estivale sur places et terre-pleins (L=6,00m l=1,60m) ; Terrasse estivale sur trottoir face à la devanture (L=9,00m l=0,60m)";10;75110;48.87544099977687,2.351036000530844
DSN42920;2022-02-08;;RESTAURANT LE ROUSSEAU;45 rue du Cherche midi 75006;Contre-terrasse estivale sur stationnement (L=10,00m l=1,80m);6;75106;48.84911300031252,2.325810000206974
DSN37537;2021-10-30;;LE MAGNOLIA CAFÉ;29 rue Saint blaise 75020;Contre-terrasse estivale sur trottoir face à la devanture (L=10,00m l=2,00m);20;75120;48.85906199998192,2.405763000531988
DSN37619;2021-10-31;;GERMAIN;25 rue de Buci 75006;Contre-terrasse permanente sur stationnement (L=18,00m l=1,80m);6;75106;48.85369399971838,2.3367339998531422
DSN37669;2021-10-31;;LIMPOND;320 rue des Pyrenees 75020;Contre-terrasse permanente sur stationnement (L=5,00m l=2,00m);20;75120;48.87280299978557,2.390977000179215
DSN40263;2022-01-24;;LE STENDHAL;30 rue Stendhal 75020;Contre-terrasse permanente sur stationnement (L=1,75m l=1,45m);20;75120;48.86192900030253,2.4014670000405722
DSN40289;2022-01-24;;TAMBO;21 rue Godefroy Cavaignac 75011;Contre-terrasse estivale sur stationnement (L=10,20m l=1,70m);11;75111;48.855148000363315,2.3811069998872583
DSN12070;2021-06-30;;CAFÉ LES FISTONS;5 rue des Abbesses 75018;Contre-terrasse estivale sur stationnement (L=8,20m l=1,92m);18;75118;48.883825999643804,2.339158999577826
DSN5254;2021-06-25;;LE CELLIER;25 rue de la Victoire 75009;Contre-terrasse estivale sur stationnement (L=6,30m l=1,70m);9;75109;48.87506499999764,2.338607000469011
DSN7963;2021-06-28;;CAFE DU THEATRE;48 rue d'Orsel 75018;"Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=1,70m l=0,80m) ; Contre-terrasse estivale sur places et terre-pleins (L=11,10m l=5,60m)";18;75118;48.88356199963871,2.342119999901685
DSN7994;2021-06-28;;LE DIPLOMATE;36 rue de Clignancourt 75018;"Contre-terrasse estivale sur trottoir face à la devanture (L=8,50m l=2,00m) ; Terrasse estivale sur trottoir face à la devanture (L=6,00m l=0,60m)";18;75118;48.88661799998567,2.347713999462674
DSN10259;2021-06-29;;LE PARADIS DU FRUIT;47 avenue George v 75008;Contre-terrasse estivale sur trottoir face à la devanture (L=14,00m l=1,00m);8;75108;48.87076099970074,2.300644000376432
DSN10289;2021-06-29;;LE CYRANO;3 rue Biot 75017;Contre-terrasse estivale sur stationnement (L=8,00m l=3,50m);17;75117;48.883839000342604,2.32650199993367
DSN5496;2021-06-25;;CHAMPION;55 rue Championnet 75018;Terrasse estivale sur trottoir face à la devanture (L=7,00m l=4,25m);18;75118;48.895644000093284,2.347313999570323
DSN8194;2021-06-28;;LE NIEL;42 rue Pierre Demours 75017;Contre-terrasse estivale sur places et terre-pleins (L=7,00m l=6,00m);17;75117;48.88144099975566,2.295126000567802
DSN10390;2021-06-29;;RED FACTORY;25 rue de Lappe 75011;"Terrasse estivale sur trottoir face à la devanture (L=4,70m l=0,90m) ; Terrasse estivale sur trottoir face à la devanture (L=3,00m l=0,80m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=7,50m l=0,80m)";11;75111;48.85363999956956,2.372918000644188
DSN10412;2021-06-29;;ILOT;4 rue de la Corderie 75003;"Contre-terrasse estivale sur voie piétonne (L=6,52m l=0,70m) ; Contre-terrasse estivale sur voie piétonne (L=8,30m l=1,20m) ; Contre-terrasse estivale sur places et terre-pleins (L=1,90m l=3,00m)";3;75103;48.864761000248976,2.363339999735058
DSN12388;2021-06-30;;JUDY;18 rue de Fleurus 75006;Contre-terrasse estivale sur stationnement (L=8,70m l=2,30m);6;75106;48.84714799984198,2.330403000113672
DSN8258;2021-06-28;;MCDONALD'S LUXEMBOURG-PANTHEON;65 boulevard Saint michel 75005;Contre-terrasse estivale sur trottoir face à la devanture (L=10,00m l=3,00m);5;75105;48.847082000127145,2.340931000184669
DSN8318;2021-06-28;;BISTROT SAINT LAZARE;117 rue Saint lazare 75008;Contre-terrasse estivale sur trottoir face à la devanture (L=14,00m l=3,00m);8;75108;48.87531799968456,2.325716000006635
DSN8366;2021-06-28;;LES DEUX MUSEES;5 rue de Bellechasse 75007;Contre-terrasse estivale sur stationnement (L=10,00m l=2,00m);7;75107;48.859894000230994,2.324583000483868
DSN8368;2021-06-28;;CAFÉ FRANÇAIS;3 place de la Bastille 75004;Contre-terrasse estivale sur places et terre-pleins (L=18,00m l=8,00m);4;75104;48.85311300010868,2.368076999764161
DSN8386;2021-06-28;;NIJI SUSHI;15 rue des Archives 75004;Contre-terrasse estivale sur stationnement (L=6,00m l=1,80m);4;75104;48.85826499990371,2.354882999663206
DSN12464;2021-06-30;;KINTARO;24 rue saint Augustin 75002;Contre-terrasse estivale sur stationnement (L=11,50m l=1,70m);2;75102;48.86893399978252,2.334875000430425
DSN5743;2021-06-25;;CAFÉ GEORGE V;120 avenue des Champs Elysees 75008;Contre-terrasse estivale sur trottoir face à la devanture (L=11,15m l=9,40m);8;75108;48.872449999748774,2.30035600031915
